Name,Category,Rating,Reviews,Location_Area,Has_Website
Paras Healthcare - Ambawadi (Azad soc),Pharmacy,4.5,149,Ahmedabad,0
Apollo Pharmacy Nehrunagar Circle,Pharmacy,4.1,42,Ahmedabad,1
Medkart Pharmacy - Parimal Underpass - Ahmedabad,Pharmacy,4.6,434,Ahmedabad,1
"Medkart Pharmacy - Bavla, Ahmedabad",Pharmacy,4.9,69,Ahmedabad,1
Shree Vinayak Pharmacy & Communication,Pharmacy,4.4,8,Ahmedabad,0
Medical Store/ Pharmacy,Pharmacy,4.5,2,Ahmedabad,0
KK's Life Style Family Store,Clothing Store,4.6,155,Ahmedabad,1
Asopalav Satelite,Clothing Store,4.0,4779,Ahmedabad,1
Waves,Clothing Store,4.4,63,Ahmedabad,1
Crush A Fashion Hub,Men'S Clothing Store,4.3,80,Ahmedabad,1
Greenfibre Menswear Store - Satellite,Men'S Clothing Store,4.6,266,Ahmedabad,1
Bliss Spa & Hammam,Massage Spa,4.6,67,Ahmedabad,0
The Delight Spa,Spa,4.7,46,Ahmedabad,0
Prakrutik Spa - Ahmedabad,Spa,4.6,708,Ahmedabad,1
Ahmedabad spa,Spa,4.9,434,Ahmedabad,1
Millennium the luxurious spa and hammam,Spa,4.8,364,Ahmedabad,0
Mind & Body Spa & Salon,Spa,4.8,50,Ahmedabad,0
Heaven spa,Spa,4.1,25,Ahmedabad,0
Aum Spa,Spa,3.8,5,Ahmedabad,0
Pure Beans & Creams Cafe,Cafe,4.4,814,Ahmedabad,0
Cafe Ray,Cafe,4.8,461,Ahmedabad,0
The Project Cafe,Cafe,4.0,4015,Ahmedabad,1
Triple O's Cafe & Community,Cafe,5.0,18,Ahmedabad,0
COFFEE ByUs,Cafe,4.6,863,Ahmedabad,1
Unlocked Cafe,Cafe,4.2,4863,Ahmedabad,1
Prithvi art celebration,Cafe,4.4,1133,Ahmedabad,1
Rangeen,Modern Indian Restaurant,4.4,3025,Ahmedabad,1
The Mad House,Cafe,4.1,1162,Ahmedabad,1
Cafe HEDH,Cafe,4.8,29,Ahmedabad,0
Friends Online Services,Internet Cafe,4.6,724,Ahmedabad,0
Brewgarten,Cafe,4.4,57,Ahmedabad,0
Sale & Pepe - Ristorante Italiano,Italian Restaurant,4.3,509,Ahmedabad,0
Mehfil Restaurant,Punjabi Restaurant,4.2,2390,Ahmedabad,1
Golden fitness,Gym,4.6,305,Ahmedabad,0
ULTIMATE HEALTH ADVANCE PHYSIOTHERAPY CENTER & MEDICAL GYM,Gym,4.9,387,Ahmedabad,1
Ultimate Fitness Club,Gym,5.0,576,Ahmedabad,1
Youthtown Fitness Centre,Gym,4.3,40,Ahmedabad,0
TCG - The Club Gym,Fitness Center,4.6,650,Ahmedabad,0
SAGA Fitness,Gym,4.9,883,Ahmedabad,0
Anytime Fitness,Gym,4.7,941,Ahmedabad,1
The Dental Wellness Centre,Dental Clinic,5.0,630,Ahmedabad,1
Arham Dental Clinic,Dental Clinic,4.9,567,Ahmedabad,1
Suman Dental Care,Dental Clinic,4.9,321,Ahmedabad,1
Sparsh Dental Clinic,Dental Clinic,4.9,342,Ahmedabad,1
Dr. Aditi's Dental Clinic,Dental Clinic,4.9,52,Ahmedabad,1
Soo Fudging Good - Home Baker in Ahmedabad/ Dessert Maker/Cheese cake,Bakery,4.8,38,Ahmedabad,1
Baker's Den,Bakery,4.7,302,Ahmedabad,1
Kabhi B - Nehrunagar,Bakery,4.2,324,Ahmedabad,1
Atul Bakery | Paldi | Ahmedabad,Bakery,4.8,827,Ahmedabad,1
"Theobroma Bakery and Cake Shop - CG Road, Ahmedabad",Bakery,4.4,512,Ahmedabad,1
Medkart Pharmacy - Jivrajpark - Ahmedabad,Pharmacy,4.9,135,Ahmedabad,1
V Cure Pharmacy,Pharmacy,4.9,13,Ahmedabad,0
R's Cakes and Desserts,Bakery,5.0,37,Ahmedabad,0
Delichoc homebakery,Bakery,5.0,20,Ahmedabad,1
Shachi's Treats,Bakery,4.9,26,Ahmedabad,0
Cakes N Bakes,Bakery,3.7,70,Ahmedabad,0
Avon Spa & Group | Best spa in Panchwati Ahmedabad,Spa,4.5,143,Ahmedabad,1
Chandan Medical Stores,Pharmacy,4.4,34,Ahmedabad,0
Hello Medicines,Pharmacy,3.2,23,Ahmedabad,0
Rajwadu,Gujarati Restaurant,4.4,8350,Ahmedabad,1
650 - The Global Kitchen,Vegetarian Restaurant,4.4,5689,Ahmedabad,1
Silverdine Restaurant,North Indian Restaurant,4.5,633,Ahmedabad,1
Vaani – A Southern Tale | South Indian Restaurant in Ahmedabad,South Indian Restaurant,4.6,1153,Ahmedabad,1
Agashiye,Gujarati Restaurant,4.6,6544,Ahmedabad,1
Karma Cafe,Cafe,4.5,1886,Ahmedabad,0
Koffee Stories Cafe | Ahmedabad,Cafe,4.4,776,Ahmedabad,1
The Messy Door Cafe - HL College Road,Cafe,4.5,1390,Ahmedabad,0
"Tent Rooftop Restro Cafe - Candle Light Dinner, Anniversary Celebration Navrangpura & Birthday Celebration Cafe Ahmedabad",Cafe,4.4,1530,Ahmedabad,1
Zen Cafe,Cafe,4.3,1716,Ahmedabad,1
TCG - PREMIUM GYM LOUNGE,Gym,4.3,46,Ahmedabad,0
Castrol Auto Service - Yogi Auto Care Pvt Ltd,Car Repair And Maintenance Service,4.3,106,Ahmedabad,1
Dr. Agrawal's Dental Care,Dental Clinic,5.0,49,Ahmedabad,1
Madhav Multispeciality Dental Clinic & Implant Center | Dr. Rima Bhatt | Dentist in Vasna Ahmedabad,Dental Clinic,5.0,31,Ahmedabad,1
Tanu Dental Clinic,Dental Clinic,4.9,41,Ahmedabad,0
Tuskers Multispeciality Dental Care - NABH Accredited Dental Clinic,Dental Clinic,4.9,315,Ahmedabad,1
Sabka dentist,Dental Clinic,4.7,1548,Ahmedabad,1
Aashu dental and multispeciality clinic,Dental Clinic,4.9,2140,Ahmedabad,1
WhiteWay Plus Dental Clinic,Dentist,5.0,20,Ahmedabad,0
Dr. Arvind Shah's Dental Clinic & Implant Center,Dental Clinic,5.0,8,Ahmedabad,0
Green Unisex Salon Spa,Spa,4.6,230,Ahmedabad,1
DJ SPA - CG Road Ahmedabad,Spa,4.3,344,Ahmedabad,1
The grandha spa - Best Spa in Ahmedabad,Spa,4.5,33,Ahmedabad,0
Cream N Crumbs By Dakshata Jain,Bakery,5.0,45,Ahmedabad,0
Cuba Fashion,Clothing Store,4.2,86,Ahmedabad,0
Maysha- best kurti shop in ahmedabad,Clothing Store,3.9,11,Ahmedabad,0
Clothing 21,Clothing Store,5.0,5,Ahmedabad,0
Fashion House,Clothing Store,4.2,505,Ahmedabad,0
"Pantaloons (Law Garden, Ahmedabad)",Clothing Store,4.2,4754,Ahmedabad,1
Romano All-Season Fashion Shop,Clothing Store,4.7,568,Ahmedabad,1
"Westside - Abhijeet-V, Ahmedabad",Clothing Store,4.3,3426,Ahmedabad,1
Trishla Fashion Women's Clothing Shop In Ahmedabad,Clothing Store,5.0,15,Ahmedabad,0
Adwikaa House,Boutique,4.7,1396,Ahmedabad,1
